feature,corr_label_generic,anova_f_label,abs_corr_generic,noise_fragility,data_type
Subflow Fwd Pkts,0.025441878725981085,2000506.0821231196,0.025441878725981085,🔴 High fragility,continuous
Tot Fwd Pkts,0.025441878725981085,2000506.0821231196,0.025441878725981085,🔴 High fragility,continuous
Fwd Header Len,0.024767552745460535,1917891.5490244573,0.024767552745460535,🔴 High fragility,continuous
FIN Flag Cnt,-0.024295562740996795,808.3443209726337,0.024295562740996795,🔴 High fragility,binary
Down/Up Ratio,-0.023173846495549544,17749.858442496272,0.023173846495549544,🔴 High fragility,continuous
Active Std,-0.02254046674004505,935.031623386596,0.02254046674004505,🔴 High fragility,continuous
Active Min,-0.02001282526452356,1241.995538789959,0.02001282526452356,🔴 High fragility,continuous
TotLen Fwd Pkts,0.018707181785764977,733469.3469389764,0.018707181785764977,🔴 High fragility,continuous
Subflow Fwd Byts,0.018707181785764977,733469.3469389764,0.018707181785764977,🔴 High fragility,continuous
Bwd IAT Min,-0.015541937638240334,73912.96560788511,0.015541937638240334,🔴 High fragility,continuous
Idle Min,-0.013835417082112996,1291.1988565742165,0.013835417082112996,🔴 High fragility,continuous
Tot Bwd Pkts,-0.011680816411003759,209.96393680934148,0.011680816411003759,🔴 High fragility,continuous
Subflow Bwd Pkts,-0.011680816411003759,209.96393680934148,0.011680816411003759,🔴 High fragility,continuous
Bwd Header Len,-0.010851246432917438,271.17237787721933,0.010851246432917438,🔴 High fragility,continuous
CWE Flag Count,0.009909173235053042,3933.659074883721,0.009909173235053042,🔴 High fragility,binary
Fwd URG Flags,0.009909173235053042,3933.659074883721,0.009909173235053042,🔴 High fragility,binary
Subflow Bwd Byts,-0.008402697552223004,84.84998257435824,0.008402697552223004,🔴 High fragility,continuous
TotLen Bwd Pkts,-0.008402346788579162,84.84302783554226,0.008402346788579162,🔴 High fragility,continuous
Flow Duration,-0.0074168967237420525,106.8982777814514,0.0074168967237420525,🔴 High fragility,continuous
Fwd IAT Tot,-0.007331870397505582,103.06473749413325,0.007331870397505582,🔴 High fragility,continuous
Idle Mean,-0.003841435747629616,84.15617849121757,0.003841435747629616,🔴 High fragility,continuous
URG Flag Cnt,-0.003077973928376226,81666.17360218908,0.003077973928376226,🔴 High fragility,binary
Flow IAT Max,-0.002422025676466932,20.775004564474685,0.002422025676466932,🔴 High fragility,continuous
Fwd IAT Max,-0.0024065672607470473,19.559922642520934,0.0024065672607470473,🔴 High fragility,continuous
Fwd IAT Mean,-0.0021111454538371354,94.97882077217606,0.0021111454538371354,🔴 High fragility,continuous
Idle Max,-0.0018708484485330874,17.806031041208005,0.0018708484485330874,🔴 High fragility,continuous
Fwd IAT Std,-0.001690580274352811,3.8086232533332613,0.001690580274352811,🔴 High fragility,continuous
Flow IAT Mean,-0.0016243000385852613,85.1159273919152,0.0016243000385852613,🔴 High fragility,continuous
Flow IAT Std,-0.0013610968632682457,5.297143886856186,0.0013610968632682457,🔴 High fragility,continuous
Idle Std,-0.0006340512946373763,2.499764150610135,0.0006340512946373763,🔴 High fragility,continuous
Fwd IAT Min,8.020592220497572e-05,7.785854616135093,8.020592220497572e-05,🔴 High fragility,continuous
Flow IAT Min,5.280420799114632e-05,7.055726732900129,5.280420799114632e-05,🔴 High fragility,continuous
